Rank,Player,Team,POS,ESPN,AVG,VORP,VORPvsADP
1.0,Ja'Marr Chase,CIN,WR1,1.0,1.0,136.0,-12
2.0,Bijan Robinson,ATL,RB1,2.0,2.8,196.0,-1
3.0,Saquon Barkley,PHI,RB2,3.0,2.8,210.0,+ 2
4.0,Jahmyr Gibbs,DET,RB3,5.0,4.6,196.0,+ 2
5.0,Justin Jefferson,MIN,WR2,4.0,4.6,108.0,-16
6.0,CeeDee Lamb,DAL,WR3,6.0,5.2,94.0,-23
7.0,Amon-Ra St. Brown,DET,WR4,8.0,8.8,87.0,-24
8.0,Puka Nacua,LAR,WR5,9.0,9.0,95.0,-21
9.0,Malik Nabers,NYG,WR6,11.0,9.2,84.0,-29
10.0,Christian McCaffrey,SF,RB4,7.0,9.4,169.0,+ 6
11.0,Ashton Jeanty,LV,RB5,10.0,10.2,154.0,+ 1
12.0,Derrick Henry,BAL,RB6,13.0,11.4,193.0,+ 8
13.0,De'Von Achane,MIA,RB7,12.0,13.0,158.0,+ 7
14.0,Nico Collins,HOU,WR7,14.0,14.4,87.0,-21
15.0,Brian Thomas Jr.,JAC,WR8,16.0,14.6,88.0,-18
16.0,Josh Jacobs,GB,RB8,18.0,17.0,166.0,+ 12
17.0,A.J. Brown,PHI,WR9,15.0,17.4,76.0,-23
18.0,Brock Bowers,LV,TE1,19.0,18.4,66.0,-34
19.0,Drake London,ATL,WR10,22.0,20.0,71.0,-28
20.0,Jonathan Taylor,IND,RB9,17.0,20.2,159.0,+ 14
21.0,Bucky Irving,TB,RB10,23.0,21.6,146.0,+ 5
22.0,Lamar Jackson,BAL,QB1,21.0,22.8,98.0,-3
23.0,Josh Allen,BUF,QB2,20.0,23.8,99.0,-4
24.0,Kyren Williams,LAR,RB11,26.0,24.2,152.0,+ 16
25.0,Ladd McConkey,LAC,WR11,30.0,24.8,78.0,-16
26.0,Trey McBride,ARI,TE2,24.0,26.0,53.0,-36
27.0,Chase Brown,CIN,RB12,33.0,27.4,132.0,+ 9
28.0,Tyreek Hill,MIA,WR12,28.0,28.4,71.0,-18
29.0,Tee Higgins,CIN,WR13,27.0,30.8,69.0,-14
30.0,Jayden Daniels,WAS,QB3,25.0,31.0,78.0,-12
31.0,James Cook,BUF,RB13,32.0,31.8,139.0,+ 21
32.0,Jaxon Smith-Njigba,SEA,WR14,36.0,33.4,57.0,-28
