PLAYER,TEAM,PASS ATT,CMP,PASS YDS,PASS TDS,INTS THROWN,RUSH ATT,RUSH YDS,RUSH TDS,FL,FPTS,REC,REC YDS,REC TDS,FG,FGA,XPT,SACKS CAUSED,DEF INTS,FR,FF,DEF,SAFETY,PA,YDS_AGN
Josh Allen,BUF,522.0,334.2,"3,914.4",29.0,10.5,115.7,572.0,10.6,3.4,376.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Lamar Jackson,BAL,480.6,320.0,"3,899.6",32.4,8.3,138.5,832.5,4.1,4.5,376.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Jalen Hurts,PHI,461.5,311.7,"3,504.4",23.5,8.9,147.2,633.0,12.6,3.9,356.6,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Jayden Daniels,WAS,535.7,364.0,"3,896.1",26.8,10.7,136.6,747.3,5.6,2.5,355.6,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Ja'Marr Chase,CIN,0.0,0.0,0,0.0,0.0,1.6,11.5,0.0,0.6,346.1,119.5,"1,545.6",12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Joe Burrow,CIN,629.2,435.4,"4,647.1",36.3,10.5,48.2,180.3,2.1,3.8,343.6,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Patrick Mahomes II,KC,604.9,409.1,"4,228.1",30.0,12.2,76.4,358.4,2.9,2.5,325.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Baker Mayfield,TB,558.5,386.9,"4,191.3",33.0,14.7,64.2,287.8,2.6,3.9,321.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Jahmyr Gibbs,DET,0.0,0.0,0,0.0,0.0,239.8,"1,244.6",11.7,1.3,315.4,56.6,502.2,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Kyler Murray,ARI,543.2,370.9,"3,854.5",23.9,11.2,88.6,539.1,5.1,3.8,315.2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Bijan Robinson,ATL,0.0,0.0,0,0.0,0.0,299.3,"1,399.5",11.3,1.4,314.7,55.3,417.7,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Saquon Barkley,PHI,0.0,0.0,0,0.0,0.0,327.8,"1,661.5",10.8,1.4,314.3,41.4,316.1,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Brock Purdy,SF,525.2,351.1,"4,282.6",27.1,12.7,65.2,277.2,3.4,2.9,309.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Bo Nix,DEN,560.4,366.4,"3,807.1",27.3,12.1,88.4,420.9,3.5,2.0,308.6,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Justin Jefferson,MIN,0.0,0.0,0,0.0,0.0,0.5,3.6,0.0,0.6,302.2,103.4,"1,444.5",9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Justin Fields,NYJ,505.8,314.5,"3,292.2",19.6,11.2,128.0,716.5,6.0,3.8,299.2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Christian McCaffrey,SF,0.0,0.0,0,0.0,0.0,239.2,"1,085.5",8.1,1.8,296.7,65.1,569.9,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CeeDee Lamb,DAL,0.0,0.0,0,0.0,0.0,9.2,59.3,0.3,1.0,294.4,109.8,"1,328.8",7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Jared Goff,DET,554.3,383.6,"4,395.1",31.1,11.5,32.7,68.9,0.6,2.9,293.4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
