Player,floor,median,ceiling,mean,std
Josh Allen,366.5957786937059,376.1933089451939,385.8903895138244,376.29269949860435,7.452726618217639
Lamar Jackson,366.709042942531,376.2747084821549,385.38950541386487,376.1442141489459,7.311173302193311
Jalen Hurts,346.68333151263744,356.3496293192518,365.6809215203996,356.2037962363856,7.470844936600654
Jayden Daniels,346.4050545347317,355.170020772926,364.6723807375284,355.3588334264222,7.177312052561769
Ja'Marr Chase,336.93457418736836,345.81783392867925,354.6362286468462,345.7650009249263,7.101421662887523
Joe Burrow,333.4935224267203,343.5416370366411,352.812173328094,343.33700556638837,7.653722015026539
Patrick Mahomes II,316.06025647935206,325.22998517920394,334.95371777801773,325.2391797332065,7.262649600351874
Baker Mayfield,311.25616379881075,321.2766788274746,330.6644240796815,321.2119727020479,7.4208841141842115
Jahmyr Gibbs,305.13710575280606,315.3702339413728,324.58578424163494,315.1380709166378,7.481336866592106
Kyler Murray,306.46612882762213,315.20388094681505,324.50260868574,315.341916740612,7.306277172401789
Bijan Robinson,304.7845706745249,314.6571293723835,323.87886652536855,314.57890873296583,7.468120643949586
Saquon Barkley,304.97763772359343,314.6947251039513,325.12695463968544,314.8581641661503,7.936668258462998
Brock Purdy,299.8413526473528,309.2438318343442,319.06147713360315,309.4181339514596,7.578120463131423
Bo Nix,298.9692214833889,308.31731905794857,317.7270027521444,308.2707051773021,7.324421384764168
Justin Jefferson,293.4475330013259,301.9263948741131,311.1836545004835,302.0434201533175,7.006685859647872
Justin Fields,289.9292574488869,299.0570023098412,308.7980378091291,299.2170038565081,7.408089341638276
Christian McCaffrey,287.00724486740717,296.2245732421351,306.04938275267983,296.4076718804245,7.494774591708439
CeeDee Lamb,285.36985508947566,294.4326806634142,303.5092497869944,294.66524127403846,7.101560027750739
Jared Goff,284.09612974142357,293.16979497666483,302.65387871786834,293.28998866324076,7.135517868580655
Puka Nacua,281.816465173979,291.262562383373,300.1617578327458,290.95962835325776,7.197791520947533
De'Von Achane,279.9405777785762,289.9260193345161,299.9797237424207,289.801652646755,7.75199981829171
Dak Prescott,279.8143654445672,289.1557538641964,298.67815012417464,289.2280855397217,7.326951244676874
J.J. McCarthy,281.8957403689232,288.1091430512384,294.51704882570164,288.21062283861346,4.8939196455497935
Justin Herbert,279.07885708133733,287.85530243352844,297.093358788473,288.09930217835876,7.285326107790349
Amon-Ra St. Brown,277.84574537216236,287.20994931571954,296.22611499125344,287.0373860568244,7.158447979753202
Caleb Williams,276.09201777183176,286.04731737493154,294.89533436782705,285.9298507784305,7.4411149312709775
Malik Nabers,270.05978000488017,280.00765058490055,288.9688914004071,279.6694995624865,7.2990000215748445
Jordan Love,268.46605646934785,278.5126459273455,287.99405191870574,278.3203389671614,7.578253133166037
C.J. Stroud,268.9068089039595,277.8951724210839,287.56241011975357,278.06130600054513,7.373705747236815
Trevor Lawrence,262.56280770105644,271.9009173008677,281.35529559096875,271.97684881000583,7.485892900197349
Derrick Henry,261.6923199053676,271.8837853392872,283.06623032926825,271.96500904513,8.169314656222047
Drake Maye,261.3289724608655,271.049690931836,280.48626224407946,270.80273525757156,7.574007922786515
Brian Thomas Jr.,260.34719602006595,269.4100770925081,279.3173097374196,269.4038619338889,7.426911751876114
Nico Collins,258.59317158186496,268.14015299165186,276.6627801969251,267.8560964709409,7.17339159913598
Josh Jacobs,257.16187040873916,266.39413014847355,276.71294238135454,266.61833395831025,7.702462973118664
Matthew Stafford,253.06845102939965,262.8759619299349,272.3197671287927,262.79546444175764,7.532767145628041
Ladd McConkey,253.86455411073868,262.7436144687722,272.20302590053325,262.88685458336386,7.1627767812999465
Michael Penix Jr.,255.90635059362134,262.0967354270109,268.7381897339198,262.19412088143457,5.0445288716469605
Ashton Jeanty,255.24376592612722,261.8414466908491,268.19905754967544,261.75910028218055,5.0609625917418875
Geno Smith,250.71872153756547,260.79228072876776,270.3344835023955,260.5945481680631,7.6180171959996725
Tua Tagovailoa,250.92837207272757,260.4721737912761,269.71093260585945,260.48154152279744,7.3053171964763495
Sam Darnold,249.9596717198295,259.5695298089865,269.17837352371527,259.55346055906455,7.3749800437624495
Cameron Ward,248.90772948015473,255.13452014263055,261.38650408032606,255.1096008167607,4.961142332135128
Drake London,245.2137233892286,254.5289990796079,263.98048338174743,254.58047419824845,7.237048478275402
Tyreek Hill,244.43979144910108,253.72698918065262,262.72525568202445,253.63001707025006,7.126084368142532
Bryce Young,244.39355382435778,253.13543872338437,262.65260334273603,253.4665677333052,7.304550317550112
Bucky Irving,243.34666201884866,253.11697879202617,262.58177757029534,253.0063963084771,7.632029643660429
Kyren Williams,238.3676796406619,248.11197712713434,257.63737836174676,248.1560290300399,7.580109660953115
Brock Bowers,240.7708794721484,248.46721875008112,256.20088803433225,248.3965780880731,6.367967898704033
Chase Brown,238.35102590153886,248.30679153448358,257.92716805656175,248.14484239062296,7.5738328497863865
A.J. Brown,237.98140955835427,247.63394448281696,256.25796073039834,247.36656594684092,7.136210838749379
Jonathan Taylor,238.0425190535757,247.16461127720197,256.95031397951595,247.2068023541118,7.371635154908701
Tee Higgins,236.61848024570597,245.13503720865384,254.44838357871186,245.33182963092128,7.086751877336191
Mike Evans,234.49876982747816,243.8794537845891,253.41340168660776,244.00801749076504,7.3951571882560785
Terry McLaurin,233.03387957917062,241.63305437969353,251.10746998730482,241.93239525604395,7.030931802978242
Davante Adams,233.0955627598527,242.12936748100853,251.21135967096376,241.91184641311582,7.052490308976896
Jaxon Smith-Njigba,230.7300094291168,240.3629358120262,249.52999685067698,240.26014270022768,7.303494409591988
Alvin Kamara,229.16835016201978,238.2292584492706,248.69707334043127,238.73778964575544,7.356467544028254
Breece Hall,228.19495011097496,237.83980200894456,247.76130095520392,237.94440201333404,7.55850533874105
Aaron Rodgers,227.2281178989186,236.46343441862425,245.29022876610117,236.40723041059908,7.137730803757239
James Cook,224.03225419401497,233.5482456575571,243.7343946985889,233.61505991483568,7.647153530506377
Garrett Wilson,222.4566774363034,231.72033610573658,241.1492257040102,231.7088125686331,7.188088934795834
Trey McBride,222.21771751678827,230.8390148799076,239.44438076682377,230.84674985418076,6.709806945123363
Marvin Harrison Jr.,221.28008181629116,230.1333426391725,239.61064712902385,230.25776420520947,7.3417868736497685
Kenneth Walker III,221.68437135930137,228.05865335965888,234.38157109346656,228.03636296493514,4.994189266301516
DK Metcalf,218.49635926492022,227.3663625502334,236.9385274866039,227.48928774886986,7.114916244830605
DJ Moore,218.49018252787937,227.68211983846362,236.93359789976242,227.7219967752442,7.174330617963353
James Conner,218.11582603019295,227.33254036603438,236.67845622179402,227.35602097300972,7.380645155218302
George Kittle,215.5915771585099,223.5427426035646,231.72870224728467,223.58105172851938,6.212917323996454
Courtland Sutton,210.30799375842537,218.97111976138217,228.80054955795444,219.18889027390637,7.116475130889822
Zay Flowers,209.96268922640957,219.32342367380636,228.1048386426895,219.10472872477487,7.32065874972337
Omarion Hampton,209.91247992222958,216.58690735652308,223.1337263249933,216.5359902949051,5.161544899433382
DeVonta Smith,206.2856822102935,214.88936254473077,224.58834568333916,215.0860286665787,7.181198668413646
Chuba Hubbard,203.94438156512845,214.17633358039245,223.61669450775221,214.28588319013775,7.656096259559401
Aaron Jones Sr.,204.24224643253677,213.91155587374783,223.5147801081009,213.72257438233606,7.52765588281958
Xavier Worthy,204.2699539811809,213.7644105768875,222.80746355749673,213.78937018756915,7.260843430498576
Jerry Jeudy,202.6108552242388,211.31756592133254,220.60458340842632,211.39128590467251,7.017827820188666
Calvin Ridley,201.34417898257152,209.8588866914876,220.00138261970264,210.05486052756652,7.359595245219718
Jakobi Meyers,199.61078439472635,208.67514994028278,218.05414833965293,208.69066636853572,7.2018450608749305
Anthony Richardson Sr.,197.05870007433026,206.79157405582302,215.8683281253059,206.6584277435756,7.388324814381329
D'Andre Swift,195.11090102306264,205.18959833784743,214.95724645142624,205.0400709680998,8.003300198693855
Joe Mixon,195.13922384089338,204.5585501277164,214.23703448709415,204.51700584000946,7.479958624713302
Jaylen Waddle,192.21172430814536,201.61590836089968,210.84241779048625,201.58419850297585,7.2624243843465495
