Position,Model,Num_Original_Features,Num_PCA_Components,R2,RMSE,CV_R2
QB,LinearRegression,5,4,0.9660075907464234,10.694145547445508,0.16560494479214966
QB,RandomForest,5,4,0.8915577660971183,19.100922604716075,-4.212512560403417
QB,XGBoost,5,4,0.9233270813246754,16.061130652964316,-3.4280958747176298
RB,LinearRegression,3,2,0.13470479432975335,20.883269545160285,nan
RB,RandomForest,3,2,-0.0750180405851042,23.276850732003993,nan
RB,XGBoost,3,2,-0.2803280340945631,25.402529992182785,nan
WR,LinearRegression,5,3,0.49872584501392425,32.816132401992064,-63439.46299029596
WR,RandomForest,5,3,0.5402394749857123,31.42791562448911,-54575.35208727374
WR,XGBoost,5,3,0.5839919422499857,29.89514125482023,-22524.625546558917
TE,LinearRegression,5,3,0.9668926172999015,7.214489674185947,-78.07131555865031
TE,RandomForest,5,3,0.9053792353967294,12.196533646901704,-122.02290579791011
TE,XGBoost,5,3,0.9976379599060362,1.9270226717977799,-135.95325421868688
