,Fantasy Points
Fantasy Points,1.0
Passing Yards (Advanced),0.8864879607138578
Air Yards,0.8768340308687603
Completions 10+ Yards,0.8589628674454826
QB Rating,0.8535710597330063
Fantasy Points/Game,0.8489302675595368
Pass Attempts (Advanced),0.8364212685162151
Completions 20+ Yards,0.8258715114247651
Pocket Time,0.783409104640036
Completions 30+ Yards,0.7535095728599251
Blitzes Faced,0.7463634709320863
Red Zone Attempts,0.722048167091823
Poor Throws,0.7143046551854646
Completions,0.5626656636801515
Rushing Attempts,0.529580639018849
Rushing Yards,0.4909397022427678
yac_yac_metrics_2023,0.370471881922239
pressures,0.11720830252572287
