Player,Year,Position,Team,Games Played,Fantasy Points,Fantasy PPG,Targets,Receptions,Carries,TDs,Air Yards,YAC,Routes Run,Red Zone Touches,Goal Line Touches
Christian McCaffrey (SF),2019,RB,,16.0,471.2,29.5,142.0,116.0,287.0,19.0,,,,71.0,
David Johnson (FA),2016,RB,,16.0,407.8,25.5,120.0,80.0,293.0,20.0,,,,2.0,
CeeDee Lamb (DAL),2023,WR,DAL,17.0,403.2,23.7,181.0,135.0,113.0,12.0,,,,38.0,
Ja'Marr Chase (CIN),2024,WR,CIN,17.0,403.0,23.7,175.0,127.0,32.0,17.0,,,,36.0,
Christian McCaffrey (SF),2023,RB,,16.0,391.3,24.5,83.0,67.0,272.0,21.0,,,,92.0,
Saquon Barkley (PHI),2018,RB,,16.0,385.8,24.1,121.0,91.0,261.0,15.0,,,,67.0,
Christian McCaffrey (SF),2018,RB,,16.0,385.5,24.1,124.0,107.0,219.0,13.0,,,,63.0,
Antonio Brown (FA),2015,WR,PIT,16.0,382.2,23.9,193.0,136.0,28.0,10.0,,,,30.0,
Alvin Kamara (NO),2020,RB,,15.0,377.8,25.2,107.0,83.0,187.0,21.0,,,,71.0,
Tyreek Hill (MIA),2023,WR,MIA,16.0,376.4,23.5,171.0,119.0,15.0,13.0,,,,27.0,
Michael Thomas (FA),2019,WR,NO,16.0,374.6,23.4,185.0,149.0,-9.0,9.0,,,,26.0,
Jonathan Taylor (IND),2021,RB,,17.0,373.1,21.9,51.0,40.0,332.0,20.0,,,,5.0,
Austin Ekeler (WAS),2022,RB,,17.0,372.7,21.9,127.0,107.0,204.0,18.0,,,,82.0,
Todd Gurley II (FA),2018,RB,,14.0,372.1,26.6,81.0,59.0,256.0,21.0,,,,,
Julio Jones (FA),2015,WR,GB,16.0,369.1,23.1,203.0,136.0,0.0,8.0,,,,18.0,
Justin Jefferson (MIN),2022,WR,MIN,17.0,368.6,21.7,184.0,128.0,24.0,8.0,,,,34.0,
Jahmyr Gibbs (DET),2024,RB,,17.0,362.9,21.3,63.0,52.0,250.0,20.0,,,,74.0,
Davante Adams (LAR),2021,WR,GB,16.0,358.4,25.6,169.0,123.0,0.0,18.0,,,,29.0,
Davante Adams (LAR),2020,WR,GB,14.0,358.4,25.6,149.0,115.0,0.0,18.0,,,,37.0,
Christian McCaffrey (SF),2022,RB,,17.0,356.4,21.0,108.0,85.0,244.0,13.0,,,,62.0,
Saquon Barkley (PHI),2024,RB,,16.0,355.3,22.2,43.0,33.0,345.0,15.0,,,,90.0,
Alvin Kamara (NO),2018,RB,,15.0,354.2,23.6,105.0,81.0,194.0,18.0,,,,88.0,
Austin Ekeler (WAS),2021,RB,,16.0,343.8,21.5,94.0,70.0,206.0,20.0,,,,67.0,
Bijan Robinson (ATL),2024,RB,,17.0,341.7,20.1,72.0,61.0,304.0,15.0,,,,55.0,
Tyreek Hill (MIA),2022,WR,MIA,17.0,341.2,20.1,170.0,119.0,32.0,7.0,,,,16.0,
Brandon Marshall (FA),2015,WR,NYJ,16.0,339.2,21.2,173.0,109.0,0.0,14.0,,,,25.0,
Dalvin Cook (FA),2020,RB,,14.0,337.8,24.1,54.0,44.0,312.0,17.0,,,,69.0,
Derrick Henry (BAL),2024,RB,,17.0,336.4,19.8,22.0,19.0,325.0,18.0,,,,67.0,
Davante Adams (LAR),2022,WR,LV,17.0,335.5,19.7,180.0,100.0,-1.0,14.0,,,,23.0,
