Player,Year,Position,Team,Games Played,Fantasy Points,PPG,Targets,Receptions,Carries,Touchdowns,Air Yards,YAC,Routes Run,Red Zone Touches,Goal Line Touches
Christian McCaffrey (SF),2019,RB,,16.0,471.2,29.5,142.0,116.0,287.0,19.0,,987.0,,71.0,24.0
David Johnson (FA),2016,RB,,16.0,407.8,25.5,120.0,80.0,293.0,20.0,,55.0,,2.0,1.0
Christian McCaffrey (SF),2023,RB,,16.0,391.3,24.5,83.0,67.0,272.0,21.0,,603.0,,92.0,26.0
Saquon Barkley (PHI),2018,RB,,16.0,385.8,24.1,121.0,91.0,261.0,15.0,,768.0,,67.0,21.0
Christian McCaffrey (SF),2018,RB,,16.0,385.5,24.1,124.0,107.0,219.0,13.0,,859.0,,63.0,18.0
Alvin Kamara (NO),2020,RB,,15.0,377.8,25.2,107.0,83.0,187.0,21.0,,760.0,,71.0,21.0
Jonathan Taylor (IND),2021,RB,,17.0,373.1,21.9,51.0,40.0,332.0,20.0,,10.0,,5.0,3.0
Austin Ekeler (WAS),2022,RB,,17.0,372.7,21.9,127.0,107.0,204.0,18.0,,859.0,,82.0,15.0
Todd Gurley II (FA),2018,RB,,14.0,372.1,26.6,81.0,59.0,256.0,21.0,,,,,
Jahmyr Gibbs (DET),2024,RB,,17.0,362.9,21.3,63.0,52.0,250.0,20.0,,603.0,,74.0,19.0
Christian McCaffrey (SF),2022,RB,,17.0,356.4,21.0,108.0,85.0,244.0,13.0,,756.0,,62.0,19.0
Saquon Barkley (PHI),2024,RB,,16.0,355.3,22.2,43.0,33.0,345.0,15.0,,337.0,,90.0,27.0
Alvin Kamara (NO),2018,RB,,15.0,354.2,23.6,105.0,81.0,194.0,18.0,,758.0,,88.0,23.0
Austin Ekeler (WAS),2021,RB,,16.0,343.8,21.5,94.0,70.0,206.0,20.0,,627.0,,67.0,20.0
Bijan Robinson (ATL),2024,RB,,17.0,341.7,20.1,72.0,61.0,304.0,15.0,,207.0,,55.0,20.0
Dalvin Cook (FA),2020,RB,,14.0,337.8,24.1,54.0,44.0,312.0,17.0,,438.0,,69.0,29.0
Derrick Henry (BAL),2024,RB,,17.0,336.4,19.8,22.0,19.0,325.0,18.0,,216.0,,67.0,23.0
Derrick Henry (BAL),2020,RB,,16.0,333.1,20.8,31.0,19.0,378.0,17.0,,135.0,,70.0,23.0
Ezekiel Elliott (FA),2018,RB,,15.0,329.1,21.9,95.0,77.0,304.0,9.0,,619.0,,64.0,16.0
Josh Jacobs (GB),2022,RB,,17.0,328.3,19.3,64.0,53.0,340.0,12.0,,374.0,,48.0,13.0
Ezekiel Elliott (FA),2016,RB,,15.0,325.4,21.7,40.0,32.0,322.0,16.0,,382.0,,44.0,14.0
Le'Veon Bell (FA),2016,RB,,12.0,317.4,26.5,94.0,75.0,261.0,9.0,,681.0,,53.0,13.0
Devonta Freeman (FA),2015,RB,,15.0,316.4,21.1,97.0,73.0,265.0,14.0,,437.0,,63.0,14.0
Aaron Jones Sr. (MIN),2019,RB,,16.0,314.8,19.7,68.0,49.0,236.0,19.0,,,,,
Ezekiel Elliott (FA),2019,RB,,16.0,311.7,19.5,71.0,54.0,301.0,14.0,,395.0,,73.0,18.0
Austin Ekeler (WAS),2019,RB,,16.0,309.0,19.3,108.0,92.0,132.0,11.0,,940.0,,30.0,13.0
Derrick Henry (BAL),2022,RB,,16.0,302.8,18.9,41.0,33.0,349.0,13.0,,397.0,,46.0,17.0
Najee Harris (LAC),2021,RB,,17.0,300.7,17.7,94.0,74.0,307.0,10.0,,508.0,,43.0,14.0
De'Von Achane (MIA),2024,RB,,17.0,299.9,17.6,87.0,78.0,203.0,12.0,,665.0,,52.0,18.0
LeSean McCoy (FA),2016,RB,,15.0,298.3,19.9,57.0,50.0,234.0,14.0,,384.0,,46.0,12.0
Derrick Henry (BAL),2019,RB,,15.0,294.6,19.6,24.0,18.0,303.0,18.0,,275.0,,61.0,17.0
DeMarco Murray (FA),2016,RB,,16.0,293.8,18.4,67.0,53.0,293.0,12.0,,320.0,,63.0,19.0
Josh Jacobs (GB),2024,RB,,17.0,293.1,17.2,43.0,36.0,301.0,16.0,,437.0,,67.0,26.0
Dalvin Cook (FA),2019,RB,,14.0,292.4,20.9,63.0,53.0,250.0,13.0,,639.0,,58.0,27.0
Breece Hall (NYJ),2023,RB,,17.0,290.5,17.1,95.0,76.0,223.0,9.0,,,,,
Joe Mixon (HOU),2021,RB,,16.0,287.9,18.0,48.0,42.0,292.0,16.0,,446.0,,68.0,20.0
Devonta Freeman (FA),2016,RB,,16.0,284.1,17.8,65.0,54.0,227.0,13.0,,552.0,,86.0,26.0
Saquon Barkley (PHI),2022,RB,,16.0,284.0,17.8,76.0,57.0,295.0,10.0,,526.0,,42.0,17.0
Nick Chubb (HOU),2022,RB,,17.0,281.4,16.6,37.0,27.0,302.0,13.0,,259.0,,43.0,14.0
