Player,Year,Position,Team,Games Played,Fantasy Points,PPG,Targets,Receptions,Carries,Touchdowns,Air Yards,YAC,Routes Run,Red Zone Touches,Goal Line Touches
Travis Kelce (KC),2022,TE,KC,17.0,316.3,18.6,152.0,110.0,,12.0,,756.0,184.0,41.0,16.0
Travis Kelce (KC),2020,TE,KC,15.0,312.8,20.9,145.0,105.0,,11.0,,718.0,186.0,31.0,7.0
Mark Andrews (BAL),2021,TE,BAL,17.0,301.1,17.7,153.0,107.0,,9.0,,450.0,158.0,28.0,7.0
Travis Kelce (KC),2018,TE,KC,16.0,294.6,18.4,150.0,103.0,,10.0,,634.0,167.0,28.0,7.0
Zach Ertz (WAS),2018,TE,PHI,16.0,280.3,17.5,156.0,116.0,,8.0,,389.0,171.0,27.0,4.0
Darren Waller (MIA),2020,TE,LV,16.0,278.6,17.4,145.0,107.0,,9.0,,572.0,146.0,24.0,7.0
Travis Kelce (KC),2021,TE,KC,16.0,262.8,16.4,134.0,92.0,,9.0,,700.0,161.0,23.0,8.0
Brock Bowers (LV),2024,TE,LV,17.0,262.7,15.5,153.0,112.0,,5.0,,596.0,153.0,16.0,5.0
George Kittle (SF),2018,TE,SF,16.0,258.7,16.2,136.0,88.0,,5.0,,870.0,138.0,21.0,7.0
Rob Gronkowski (FA),2015,TE,NE,15.0,255.6,17.0,120.0,72.0,,11.0,,636.0,143.0,25.0,9.0
Travis Kelce (KC),2019,TE,KC,16.0,254.3,15.9,136.0,97.0,,5.0,,494.0,158.0,26.0,8.0
Trey McBride (ARI),2024,TE,ARI,16.0,249.8,15.6,147.0,111.0,,2.0,,513.0,147.0,23.0,9.0
Delanie Walker (FA),2015,TE,TEN,15.0,244.4,16.3,133.0,94.0,,6.0,,384.0,134.0,17.0,5.0
Jordan Reed (FA),2015,TE,WAS,14.0,244.2,17.4,114.0,87.0,,11.0,,505.0,131.0,26.0,5.0
Sam LaPorta (DET),2023,TE,DET,17.0,239.3,14.1,120.0,86.0,,10.0,,453.0,149.0,24.0,9.0
Gary Barnidge (FA),2015,TE,CLE,16.0,237.3,14.8,125.0,79.0,,9.0,,363.0,125.0,24.0,8.0
