Player,Year,Position,Team,Games Played,Fantasy Points,PPG,Targets,Receptions,Carries,Touchdowns,Air Yards,YAC,Routes Run,Red Zone Touches,Goal Line Touches
CeeDee Lamb (DAL),2023,WR,DAL,17.0,403.2,23.7,181.0,135.0,,12.0,,715.0,199.0,38.0,13.0
Ja'Marr Chase (CIN),2024,WR,CIN,17.0,403.0,23.7,175.0,127.0,,17.0,,787.0,175.0,36.0,13.0
Antonio Brown (FA),2015,WR,PIT,16.0,382.2,23.9,193.0,136.0,,10.0,,687.0,209.0,30.0,10.0
Tyreek Hill (MIA),2023,WR,MIA,16.0,376.4,23.5,171.0,119.0,,13.0,,683.0,180.0,27.0,10.0
Michael Thomas (FA),2019,WR,NO,16.0,374.6,23.4,185.0,149.0,,9.0,,591.0,193.0,26.0,5.0
Julio Jones (FA),2015,WR,GB,16.0,369.1,23.1,203.0,136.0,,8.0,,233.0,114.0,18.0,6.0
Justin Jefferson (MIN),2022,WR,MIN,17.0,368.6,21.7,184.0,128.0,,8.0,,620.0,194.0,34.0,7.0
Davante Adams (LAR),2021,WR,GB,16.0,358.4,25.6,169.0,123.0,,18.0,,622.0,180.0,29.0,7.0
Davante Adams (LAR),2020,WR,GB,14.0,358.4,25.6,149.0,115.0,,18.0,,669.0,174.0,37.0,13.0
Tyreek Hill (MIA),2022,WR,MIA,17.0,341.2,20.1,170.0,119.0,,7.0,,517.0,186.0,16.0,7.0
Brandon Marshall (FA),2015,WR,NYJ,16.0,339.2,21.2,173.0,109.0,,14.0,,438.0,173.0,25.0,5.0
Davante Adams (LAR),2022,WR,LV,17.0,335.5,19.7,180.0,100.0,,14.0,,493.0,181.0,23.0,9.0
DeAndre Hopkins (BAL),2018,WR,HOU,16.0,333.5,20.8,163.0,115.0,,11.0,,396.0,173.0,26.0,9.0
DeAndre Hopkins (BAL),2015,WR,HOU,16.0,331.1,20.7,192.0,111.0,,11.0,,243.0,204.0,31.0,5.0
Amon-Ra St. Brown (DET),2023,WR,PHI,16.0,330.9,20.7,164.0,119.0,,10.0,,473.0,158.0,18.0,4.0
Davante Adams (LAR),2018,WR,GB,15.0,329.6,22.0,169.0,111.0,,13.0,,475.0,170.0,32.0,3.0
Tyreek Hill (MIA),2021,WR,KC,17.0,328.9,21.9,159.0,111.0,,15.0,,579.0,187.0,34.0,7.0
Tyreek Hill (MIA),2020,WR,KC,15.0,328.9,21.9,135.0,87.0,,15.0,,620.0,166.0,28.0,7.0
