Rank,Player,Fantasy Points,Fantasy Points/Game,Passing TD,Interceptions,Passing Yards (Advanced),Completion % (Advanced),Yards/Attempt (Advanced),CPOE,Completions (Advanced),Pass Attempts (Advanced),Air Yards,Air Yards/Attempt,Completions 10+ Yards,Completions 20+ Yards,Completions 30+ Yards,Completions 40+ Yards,Completions 50+ Yards,Red Zone Attempts,QB Rating,Pocket Time,Sacks (Advanced),pressure_to_sack,QB Hits/Knockdowns,QB Hurries,Blitzes Faced,Poor Throws,Receiver Drops,Rushing TD,Rushing Yards,Rushing Attempts,Fumbles Lost,Games Played (Advanced),player_id,Year,pressures,Completions,Rostered %,Position,passer_player_id,passer_player_name,season_yac_metrics_2018.1,receiver_player_id_yac_metrics_2018.1,receiver_player_name_yac_metrics_2018.1,yac_yac_metrics_2018.1,season_redzone_metrics_2021.1,player_id_redzone_metrics_2021,player_name_redzone_metrics_2021,redzone_touches_redzone_metrics_2021,goal_line_touches_redzone_metrics_2021,season_redzone_metrics_2020.1,player_id_redzone_metrics_2020.1,player_name_redzone_metrics_2020.1,redzone_touches_redzone_metrics_2020.1,goal_line_touches_redzone_metrics_2020.1,season_redzone_metrics_2022.1,player_id_redzone_metrics_2022.1,player_name_redzone_metrics_2022.1,redzone_touches_redzone_metrics_2022.1,goal_line_touches_redzone_metrics_2022.1,season_redzone_metrics_2023.1,player_id_redzone_metrics_2023.1,player_name_redzone_metrics_2023.1,redzone_touches_redzone_metrics_2023.1,goal_line_touches_redzone_metrics_2023.1,season_redzone_metrics_2024.1,player_id_redzone_metrics_2024.1,player_name_redzone_metrics_2024.1,redzone_touches_redzone_metrics_2024.1,goal_line_touches_redzone_metrics_2024.1,season_redzone_metrics_2018.1,player_id_redzone_metrics_2018.1,player_name_redzone_metrics_2018.1,redzone_touches_redzone_metrics_2018.1,goal_line_touches_redzone_metrics_2018.1,season_redzone_metrics_2019.1,player_id_redzone_metrics_2019.1,player_name_redzone_metrics_2019.1,redzone_touches_redzone_metrics_2019.1,goal_line_touches_redzone_metrics_2019.1,season_redzone_metrics_2015.1,player_id_redzone_metrics_2015.1,player_name_redzone_metrics_2015.1,redzone_touches_redzone_metrics_2015.1,goal_line_touches_redzone_metrics_2015.1,season_redzone_metrics_2017.1,player_id_redzone_metrics_2017.1,player_name_redzone_metrics_2017.1,redzone_touches_redzone_metrics_2017.1,goal_line_touches_redzone_metrics_2017.1,season_redzone_metrics_2016.1,player_id_redzone_metrics_2016.1,player_name_redzone_metrics_2016.1,redzone_touches_redzone_metrics_2016.1,goal_line_touches_redzone_metrics_2016.1,season_yac_metrics_2018.2,receiver_player_id_yac_metrics_2018.2,receiver_player_name_yac_metrics_2018.2,yac_yac_metrics_2018.2,season_redzone_metrics_2021.2,player_id_redzone_metrics_2021.1,player_name_redzone_metrics_2021.1,redzone_touches_redzone_metrics_2021.1,goal_line_touches_redzone_metrics_2021.1,season_redzone_metrics_2020.2,player_id_redzone_metrics_2020.2,player_name_redzone_metrics_2020.2,redzone_touches_redzone_metrics_2020.2,goal_line_touches_redzone_metrics_2020.2,season_redzone_metrics_2022.2,player_id_redzone_metrics_2022.2,player_name_redzone_metrics_2022.2,redzone_touches_redzone_metrics_2022.2,goal_line_touches_redzone_metrics_2022.2,season_redzone_metrics_2023.2,player_id_redzone_metrics_2023.2,player_name_redzone_metrics_2023.2,redzone_touches_redzone_metrics_2023.2,goal_line_touches_redzone_metrics_2023.2,season_redzone_metrics_2024.2,player_id_redzone_metrics_2024.2,player_name_redzone_metrics_2024.2,redzone_touches_redzone_metrics_2024.2,goal_line_touches_redzone_metrics_2024.2,season_redzone_metrics_2018.2,player_id_redzone_metrics_2018.2,player_name_redzone_metrics_2018.2,redzone_touches_redzone_metrics_2018.2,goal_line_touches_redzone_metrics_2018.2,season_redzone_metrics_2019.2,player_id_redzone_metrics_2019.2,player_name_redzone_metrics_2019.2,redzone_touches_redzone_metrics_2019.2,goal_line_touches_redzone_metrics_2019.2,season_redzone_metrics_2015.2,player_id_redzone_metrics_2015.2,player_name_redzone_metrics_2015.2,redzone_touches_redzone_metrics_2015.2,goal_line_touches_redzone_metrics_2015.2,season_redzone_metrics_2017.2,player_id_redzone_metrics_2017.2,player_name_redzone_metrics_2017.2,redzone_touches_redzone_metrics_2017.2,goal_line_touches_redzone_metrics_2017.2,season_redzone_metrics_2016.2,player_id_redzone_metrics_2016.2,player_name_redzone_metrics_2016.2,redzone_touches_redzone_metrics_2016.2,goal_line_touches_redzone_metrics_2016.2
"The player’s overall fantasy Ranking","The quarterback’s name (display format).","Season fantasy points scored.","Average fantasy points scored per game.","Number of passing touchdowns.","Number of interceptions.","Total passing yards (may include advanced adjustments or air yards components).","Percentage of passes completed (advanced stat — may adjust for drops, throwaways, etc.).","Average passing yards per attempt (advanced calculation).","Completion Percentage Over Expected (accuracy relative to expected completions based on throw difficulty).","Total completed passes (advanced version, may adjust for specific situations).","Total pass attempts (advanced version).","Total distance (in yards) that all pass attempts traveled in the air (before catch).","Average air yards per pass attempt.","Number of completed passes that gained 10 or more yards.","Number of completed passes that gained 20 or more yards.","Number of completed passes that gained 30 or more yards.","Number of completed passes that gained 40 or more yards.","Number of completed passes that gained 50 or more yards.","Number of pass attempts made inside the opponent’s 20-yard line.","Quarterback rating (passer efficiency metric using completions, yards, TDs, INTs).","Average time (in seconds) the QB spends in the pocket before releasing the ball or being pressured/sacked.","Total number of times the QB was sacked (advanced tracking).","Ratio of pressures that resulted in a sack (measures QB’s ability to avoid sacks when pressured).","Number of times the QB was hit or knocked down (but not necessarily sacked).","Number of times the QB was hurried (forced to throw earlier than intended).","Number of defensive blitzes the QB faced.","Number of passes classified as poorly thrown (off-target).","Number of passes dropped by receivers.","Total rushing touchdowns scored by the QB.","Total rushing yards gained by the QB.","Total rushing attempts by the QB.","Number of fumbles lost (turnovers).","Number of games played (advanced tracking; may account for partial appearances).","Unique player identifier (database reference).","Season year for the stats.","Number of times the QB was pressured by defenders (includes hits, hurries, sacks).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1.0,Josh Allen (BUF),406.2,25.4,37.0,10.0,"4,544",69%,7.9,5.9752222156200006,396.0,572.0,"2,891",5.1,186.0,62.0,18.0,8.0,2.0,84.0,106.0,2.6,26.0,0.3736263736263736,39.0,65.0,244.0,88.0,25.0,8.0,421,102.0,6.0,16.0,00-0034857,2020,91.0,396.0,99.8%,QB,00-0034857,J.Allen,2018.0,00-0031577,J.Allen,185.0,2021.0,00-0034857,J.Allen,35.0,10.0,2020.0,00-0034857,J.Allen,28.0,12.0,2022.0,00-0034857,J.Allen,31.0,15.0,2023.0,00-0034857,J.Allen,38.0,16.0,2024.0,00-0034857,J.Allen,41.0,15.0,2018.0,00-0031577,J.Allen,18.0,7.0,2019.0,00-0031577,J.Allen,3.0,1.0,2015.0,00-0031577,J.Allen,32.0,9.0,2017.0,00-0031577,J.Allen,38.0,11.0,2016.0,00-0031577,J.Allen,2.0,0.0,2018.0,00-0031577,J.Allen,185.0,2021.0,00-0034857,J.Allen,35.0,10.0,2020.0,00-0034857,J.Allen,28.0,12.0,2022.0,00-0034857,J.Allen,31.0,15.0,2023.0,00-0034857,J.Allen,38.0,16.0,2024.0,00-0034857,J.Allen,41.0,15.0,2018.0,00-0031577,J.Allen,18.0,7.0,2019.0,00-0031577,J.Allen,3.0,1.0,2015.0,00-0031577,J.Allen,32.0,9.0,2017.0,00-0031577,J.Allen,38.0,11.0,2016.0,00-0031577,J.Allen,2.0,0.0
2.0,Kyler Murray (ARI),390.7,24.4,26.0,12.0,"3,971",67%,7.1,2.2246880569692777,375.0,558.0,"2,463",4.4,142.0,44.0,24.0,14.0,5.0,62.0,96.0,2.5,27.0,0.5294117647058824,23.0,56.0,156.0,88.0,13.0,11.0,819,133.0,4.0,16.0,00-0035228,2020,51.0,375.0,87.5%,QB,00-0035228,K.Murray,,,,,2021.0,00-0035228,K.Murray,25.0,5.0,2020.0,00-0035228,K.Murray,26.0,9.0,2022.0,00-0035228,K.Murray,13.0,6.0,2023.0,00-0035228,K.Murray,14.0,7.0,2024.0,00-0035228,K.Murray,15.0,3.0,,,,,,2019.0,00-0035228,K.Murray,19.0,3.0,,,,,,,,,,,,,,,,,,,,2021.0,00-0035228,K.Murray,25.0,5.0,2020.0,00-0035228,K.Murray,26.0,9.0,2022.0,00-0035228,K.Murray,13.0,6.0,2023.0,00-0035228,K.Murray,14.0,7.0,2024.0,00-0035228,K.Murray,15.0,3.0,,,,,,2019.0,00-0035228,K.Murray,19.0,3.0,,,,,,,,,,,,,,,
3.0,Aaron Rodgers (PIT),388.1,24.3,48.0,5.0,"4,299",71%,8.2,6.779109793049944,372.0,526.0,"2,277",4.3,156.0,57.0,27.0,14.0,5.0,82.0,120.0,2.5,20.0,0.4385964912280701,26.0,34.0,168.0,69.0,27.0,3.0,149,38.0,2.0,16.0,00-0023459,2020,57.0,372.0,4.6%,QB,00-0023459,A.Rodgers,,,,,2021.0,00-0023459,A.Rodgers,3.0,1.0,2020.0,00-0023459,A.Rodgers,8.0,2.0,2022.0,00-0023459,A.Rodgers,7.0,4.0,,,,,,2024.0,00-0023459,A.Rodgers,2.0,0.0,2018.0,00-0023459,A.Rodgers,9.0,3.0,2019.0,00-0023459,A.Rodgers,12.0,6.0,2015.0,00-0023459,A.Rodgers,9.0,3.0,2017.0,00-0023459,A.Rodgers,2.0,0.0,2016.0,00-0023459,A.Rodgers,16.0,3.0,,,,,2021.0,00-0023459,A.Rodgers,3.0,1.0,2020.0,00-0023459,A.Rodgers,8.0,2.0,2022.0,00-0023459,A.Rodgers,7.0,4.0,,,,,,2024.0,00-0023459,A.Rodgers,2.0,0.0,2018.0,00-0023459,A.Rodgers,9.0,3.0,2019.0,00-0023459,A.Rodgers,12.0,6.0,2015.0,00-0023459,A.Rodgers,9.0,3.0,2017.0,00-0023459,A.Rodgers,2.0,0.0,2016.0,00-0023459,A.Rodgers,16.0,3.0
4.0,Patrick Mahomes II (KC),380.3,25.4,38.0,6.0,"4,740",66%,8.1,,390.0,588.0,"2,743",4.7,197.0,67.0,22.0,8.0,2.0,74.0,109.0,2.6,22.0,,55.0,63.0,140.0,100.0,28.0,2.0,308,62.0,2.0,15.0,,2020,,390.0,96.0%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,Deshaun Watson (CLE),376.4,23.5,33.0,7.0,"4,823",70%,8.9,6.522549013562691,382.0,544.0,"3,052",5.6,192.0,69.0,27.0,11.0,5.0,85.0,112.0,2.6,49.0,0.5104166666666666,44.0,78.0,168.0,79.0,19.0,3.0,444,90.0,3.0,16.0,,2020,96.0,382.0,0.3%,QB,00-0033537,D.Watson,,,,,,,,,,2020.0,00-0033537,D.Watson,18.0,7.0,2022.0,00-0033537,D.Watson,6.0,1.0,2023.0,00-0033537,D.Watson,6.0,3.0,2024.0,00-0033537,D.Watson,5.0,2.0,2018.0,00-0033537,D.Watson,21.0,9.0,2019.0,00-0033537,D.Watson,22.0,9.0,,,,,,2017.0,00-0033537,D.Watson,4.0,3.0,,,,,,,,,,,,,,,2020.0,00-0033537,D.Watson,18.0,7.0,2022.0,00-0033537,D.Watson,6.0,1.0,2023.0,00-0033537,D.Watson,6.0,3.0,2024.0,00-0033537,D.Watson,5.0,2.0,2018.0,00-0033537,D.Watson,21.0,9.0,2019.0,00-0033537,D.Watson,22.0,9.0,,,,,,2017.0,00-0033537,D.Watson,4.0,3.0,,,,,
6.0,Russell Wilson (NYG),372.6,23.3,40.0,13.0,"4,212",69%,7.5,5.820426654644791,384.0,558.0,"2,596",4.7,161.0,45.0,22.0,11.0,6.0,82.0,104.0,2.7,47.0,0.4193548387096774,60.0,66.0,205.0,84.0,27.0,2.0,513,83.0,4.0,16.0,00-0029263,2020,124.0,384.0,2.5%,QB,00-0029263,R.Wilson,2018.0,00-0029263,R.Wilson,-1.0,2021.0,00-0029263,R.Wilson,7.0,3.0,2020.0,00-0029263,R.Wilson,5.0,3.0,2022.0,00-0029263,R.Wilson,5.0,2.0,2023.0,00-0029263,R.Wilson,19.0,5.0,2024.0,00-0029263,R.Wilson,10.0,3.0,2018.0,00-0029263,R.Wilson,10.0,2.0,2019.0,00-0029263,R.Wilson,15.0,4.0,2015.0,00-0029263,R.Wilson,11.0,1.0,2017.0,00-0029263,R.Wilson,6.0,3.0,2016.0,00-0029263,R.Wilson,7.0,2.0,2018.0,00-0029263,R.Wilson,-1.0,2021.0,00-0029263,R.Wilson,7.0,3.0,2020.0,00-0029263,R.Wilson,5.0,3.0,2022.0,00-0029263,R.Wilson,5.0,2.0,2023.0,00-0029263,R.Wilson,19.0,5.0,2024.0,00-0029263,R.Wilson,10.0,3.0,2018.0,00-0029263,R.Wilson,10.0,2.0,2019.0,00-0029263,R.Wilson,15.0,4.0,2015.0,00-0029263,R.Wilson,11.0,1.0,2017.0,00-0029263,R.Wilson,6.0,3.0,2016.0,00-0029263,R.Wilson,7.0,2.0
7.0,Ryan Tannehill (FA),351.3,22.0,33.0,7.0,"3,819",65%,7.9,2.809869507137618,315.0,481.0,"2,385",5.0,153.0,44.0,18.0,13.0,8.0,68.0,106.0,2.5,24.0,0.2808988764044944,50.0,36.0,161.0,63.0,20.0,7.0,266,43.0,1.0,16.0,00-0029701,2020,89.0,315.0,0.0%,QB,00-0029701,R.Tannehill,2018.0,00-0029701,R.Tannehill,1.0,2021.0,00-0029701,R.Tannehill,14.0,7.0,2020.0,00-0029701,R.Tannehill,12.0,7.0,2022.0,00-0029701,R.Tannehill,7.0,4.0,2023.0,00-0029701,R.Tannehill,2.0,0.0,,,,,,2018.0,00-0029701,R.Tannehill,5.0,1.0,2019.0,00-0029701,R.Tannehill,7.0,4.0,2015.0,00-0029701,R.Tannehill,2.0,1.0,,,,,,2016.0,00-0029701,R.Tannehill,9.0,3.0,2018.0,00-0029701,R.Tannehill,1.0,2021.0,00-0029701,R.Tannehill,14.0,7.0,2020.0,00-0029701,R.Tannehill,12.0,7.0,2022.0,00-0029701,R.Tannehill,7.0,4.0,2023.0,00-0029701,R.Tannehill,2.0,0.0,,,,,,2018.0,00-0029701,R.Tannehill,5.0,1.0,2019.0,00-0029701,R.Tannehill,7.0,4.0,2015.0,00-0029701,R.Tannehill,2.0,1.0,,,,,,2016.0,00-0029701,R.Tannehill,9.0,3.0
8.0,Tom Brady (FA),350.0,21.9,40.0,12.0,"4,633",66%,7.6,2.3784161189506836,401.0,610.0,"3,037",5.0,177.0,63.0,27.0,12.0,1.0,84.0,103.0,2.4,21.0,0.2842105263157894,55.0,35.0,161.0,122.0,31.0,3.0,6,30.0,1.0,16.0,00-0019596,2020,95.0,401.0,4.7%,QB,00-0019596,T.Brady,2018.0,00-0019596,T.Brady,6.0,2021.0,00-0019596,T.Brady,8.0,2.0,2020.0,00-0019596,T.Brady,12.0,4.0,2022.0,00-0019596,T.Brady,11.0,2.0,,,,,,,,,,,2018.0,00-0019596,T.Brady,6.0,2.0,2019.0,00-0019596,T.Brady,11.0,7.0,2015.0,00-0019596,T.Brady,8.0,4.0,2017.0,00-0019596,T.Brady,9.0,0.0,2016.0,00-0019596,T.Brady,11.0,7.0,2018.0,00-0019596,T.Brady,6.0,2021.0,00-0019596,T.Brady,8.0,2.0,2020.0,00-0019596,T.Brady,12.0,4.0,2022.0,00-0019596,T.Brady,11.0,2.0,,,,,,,,,,,2018.0,00-0019596,T.Brady,6.0,2.0,2019.0,00-0019596,T.Brady,11.0,7.0,2015.0,00-0019596,T.Brady,8.0,4.0,2017.0,00-0019596,T.Brady,9.0,0.0,2016.0,00-0019596,T.Brady,11.0,7.0
9.0,Justin Herbert (LAC),342.8,22.9,31.0,10.0,"4,336",67%,7.3,0.0118462176158616,396.0,595.0,"2,525",4.2,171.0,51.0,15.0,10.0,8.0,71.0,101.0,2.4,32.0,0.3168316831683168,54.0,91.0,169.0,105.0,23.0,5.0,234,55.0,1.0,15.0,00-0036355,2020,101.0,396.0,84.1%,QB,00-0036355,J.Herbert,,,,,2021.0,00-0036355,J.Herbert,24.0,7.0,2020.0,00-0036355,J.Herbert,21.0,9.0,2022.0,00-0036355,J.Herbert,8.0,3.0,2023.0,00-0036355,J.Herbert,12.0,5.0,2024.0,00-0036355,J.Herbert,8.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021.0,00-0036355,J.Herbert,24.0,7.0,2020.0,00-0036355,J.Herbert,21.0,9.0,2022.0,00-0036355,J.Herbert,8.0,3.0,2023.0,00-0036355,J.Herbert,12.0,5.0,2024.0,00-0036355,J.Herbert,8.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
