Rank,Player,Fantasy Points,Fantasy Points/Game,Fumbles Lost,Games Played (Advanced),Position,player_id,Year,Yards/Attempt (Basic),Rushing TD (Basic),Yards/Reception (Basic),Receiving TD (Basic),Rostered %,Rushing Attempts (Advanced),Rushing Yards (Advanced),Yards Before Contact,Yards Before Contact/Attempt,Yards After Contact,Yards After Contact/Attempt,Broken Tackles,Tackles for Loss,Tackles for Loss Yards,Longest TD Run,Runs 10+ Yards,Runs 20+ Yards (Advanced),Runs 30+ Yards,Runs 40+ Yards,Runs 50+ Yards,Receptions (Advanced),Targets (Advanced),Red Zone Targets,Yards After Contact (Advanced),yac,redzone_touches,goal_line_touches,season_yprr,routes_run_yprr,yprr,season_routes,posteam,routes_run_routes,TPRR,relevent_snaps_played
Overall fantasy ranking for the player,Player name,Total fantasy points scored,Average fantasy points per game,Number of fumbles lost,Games played (advanced tracking),Player position,Unique player identifier,Season year,Yards per rushing attempt (basic),Rushing touchdowns (basic),Yards per reception (basic),Receiving touchdowns (basic),Rostered percentage,Rushing attempts (advanced),Rushing yards (advanced),Yards before contact,Yards before contact per attempt,Yards after contact,Yards after contact per attempt,Broken tackles,Tackles for loss,Tackles for loss yards,Longest touchdown run,Runs of 10+ yards,Runs of 20+ yards (advanced),Runs of 30+ yards,Runs of 40+ yards,Runs of 50+ yards,Receptions (advanced),Targets (advanced),Red zone targets,Yards after contact (advanced),Yards after catch (YAC),Red zone touches,Goal line touches,Season yards per route run (YPRR),Routes run YPRR,Yards per route run (YPRR),Season routes,Posteam,Routes run (routes),Targets per route run (TPRR),0.0
1.0,Devonta Freeman (FA),316.4,21.1,2.0,15.0,RB,00-0031285,2015,4.0,11.0,7.9,3.0,0.0%,265.0,"1,056",495.0,1.9,561.0,2.1,9.0,33.0,-92.0,25.0,32.0,6.0,1.0,0.0,0.0,73.0,97.0,14.0,96.0,437.0,63.0,14.0,2015.0,97.0,5.958762886597938,2015.0,ATL,97.0,1.0,362.0
2.0,Adrian Peterson (FA),260.7,16.3,3.0,16.0,RB,00-0025394,2015,4.5,11.0,7.4,0.0,0.7%,327.0,"1,485",702.0,2.1,783.0,2.4,18.0,48.0,-104.0,80.0,43.0,10.0,6.0,4.0,2.0,30.0,36.0,2.0,26.0,271.0,56.0,16.0,2015.0,38.0,6.184210526315789,2015.0,MIN,38.0,1.0,363.0
3.0,Danny Woodhead (FA),243.1,15.2,0.0,16.0,RB,00-0026019,2015,3.4,3.0,9.4,6.0,0.1%,98.0,336,178.0,1.8,158.0,1.6,0.0,9.0,-18.0,9.0,5.0,1.0,0.0,0.0,0.0,80.0,106.0,15.0,176.0,713.0,37.0,7.0,2015.0,106.0,7.122641509433962,2015.0,LAC,106.0,1.0,204.0
4.0,Doug Martin (FA),232.3,14.5,5.0,16.0,RB,00-0029613,2015,4.9,6.0,8.2,1.0,0.0%,288.0,"1,402",473.0,1.6,929.0,3.2,22.0,36.0,-78.0,14.0,33.0,14.0,6.0,4.0,3.0,33.0,44.0,5.0,93.0,231.0,46.0,11.0,2015.0,44.0,6.159090909090909,2015.0,TB,44.0,1.0,332.0
5.0,Lamar Miller (FA),231.9,14.5,1.0,16.0,RB,00-0029615,2015,4.5,8.0,8.4,2.0,0.0%,194.0,872,307.0,1.6,565.0,2.9,4.0,21.0,-46.0,85.0,22.0,7.0,2.0,1.0,1.0,47.0,57.0,4.0,78.0,427.0,23.0,8.0,2015.0,57.0,6.964912280701754,2015.0,MIA,57.0,1.0,251.0
6.0,DeAngelo Williams (FA),231.4,14.5,2.0,16.0,RB,00-0024242,2015,4.5,11.0,9.2,0.0,0.1%,200.0,907,441.0,2.2,466.0,2.3,7.0,20.0,-39.0,6.0,24.0,6.0,3.0,2.0,2.0,40.0,47.0,5.0,131.0,107.0,14.0,8.0,,,,,,,,247.0
7.0,Matt Forte (FA),214.7,16.5,1.0,13.0,RB,00-0026184,2015,4.1,4.0,8.8,3.0,0.1%,218.0,898,364.0,1.7,534.0,2.4,3.0,12.0,-20.0,7.0,21.0,4.0,0.0,0.0,0.0,44.0,58.0,10.0,106.0,351.0,42.0,16.0,2015.0,60.0,6.483333333333333,2015.0,CHI,60.0,0.9666666666666668,276.0
8.0,David Johnson (FA),209.8,13.1,1.0,16.0,RB,00-0032187,2015,4.6,8.0,12.7,4.0,0.0%,125.0,581,241.0,1.9,340.0,2.7,5.0,11.0,-21.0,47.0,16.0,3.0,1.0,1.0,0.0,36.0,57.0,8.0,128.0,4.0,39.0,12.0,2015.0,75.0,7.573333333333333,2015.0,ARI,75.0,1.0,182.0
9.0,Todd Gurley II (FA),208.4,16.0,1.0,13.0,RB,,2015,4.8,10.0,9.0,0.0,0.1%,229.0,"1,106",427.0,1.9,679.0,3.0,16.0,27.0,-71.0,71.0,26.0,11.0,7.0,5.0,3.0,21.0,26.0,2.0,59.0,,,,,,,,,,,255.0
10.0,Latavius Murray (FA),204.8,12.8,1.0,16.0,RB,00-0030513,2015,4.0,6.0,5.7,0.0,0.0%,266.0,"1,066",412.0,1.5,654.0,2.5,6.0,24.0,-55.0,22.0,20.0,9.0,3.0,2.0,1.0,41.0,53.0,0.0,79.0,242.0,35.0,9.0,2015.0,53.0,4.377358490566038,2015.0,LV,53.0,1.0,319.0
12.0,Chris Ivory (FA),202.7,13.5,2.0,15.0,RB,00-0027531,2015,4.3,7.0,7.2,1.0,0.0%,247.0,"1,070",425.0,1.7,645.0,2.6,17.0,26.0,-60.0,31.0,29.0,9.0,5.0,2.0,2.0,30.0,37.0,5.0,85.0,275.0,45.0,18.0,2015.0,37.0,5.864864864864865,2015.0,NYJ,37.0,1.0,284.0
13.0,Darren McFadden (FA),195.7,12.2,3.0,16.0,RB,00-0026144,2015,4.6,3.0,8.2,0.0,0.0%,239.0,"1,089",539.0,2.3,550.0,2.3,6.0,24.0,-60.0,6.0,27.0,9.0,5.0,2.0,1.0,40.0,53.0,4.0,57.0,317.0,31.0,7.0,2015.0,54.0,6.074074074074074,2015.0,DAL,54.0,0.9814814814814816,292.0
14.0,Frank Gore (FA),193.4,12.1,3.0,16.0,RB,00-0023500,2015,3.7,6.0,7.9,1.0,0.1%,260.0,967,385.0,1.5,582.0,2.2,7.0,29.0,-59.0,37.0,23.0,5.0,1.0,0.0,0.0,34.0,58.0,4.0,105.0,273.0,40.0,9.0,2015.0,58.0,4.603448275862069,2015.0,IND,58.0,1.0,318.0
15.0,DeMarco Murray (FA),184.4,12.3,2.0,15.0,RB,00-0028009,2015,3.6,6.0,7.3,1.0,0.1%,193.0,702,303.0,1.6,399.0,2.1,8.0,24.0,-76.0,54.0,19.0,5.0,2.0,1.0,1.0,44.0,55.0,3.0,95.0,383.0,31.0,12.0,2015.0,55.0,5.8545454545454545,2015.0,PHI,55.0,1.0,248.0
16.0,Giovani Bernard (FA),181.2,11.3,0.0,16.0,RB,00-0030456,2015,4.7,2.0,9.6,0.0,0.0%,154.0,730,315.0,2.0,415.0,2.7,5.0,11.0,-17.0,17.0,21.0,2.0,0.0,0.0,0.0,49.0,66.0,3.0,98.0,460.0,36.0,5.0,2015.0,70.0,6.771428571428571,2015.0,CIN,70.0,1.0,220.0
17.0,Charles Sims (FA),180.0,11.3,2.0,16.0,RB,00-0031390,2015,4.9,0.0,11.0,4.0,0.0%,107.0,529,223.0,2.1,306.0,2.9,8.0,16.0,-39.0,0.0,11.0,4.0,2.0,1.0,1.0,51.0,70.0,10.0,163.0,476.0,26.0,2.0,2015.0,70.0,8.014285714285714,2015.0,TB,70.0,1.0,177.0
18.0,Theo Riddick (FA),179.0,11.2,1.0,16.0,RB,00-0030107,2015,3.1,0.0,8.7,3.0,0.0%,43.0,133,46.0,1.1,87.0,2.0,2.0,3.0,-3.0,0.0,1.0,0.0,0.0,0.0,0.0,80.0,99.0,13.0,247.0,653.0,19.0,2.0,2015.0,99.0,7.040404040404041,2015.0,DET,99.0,1.0,142.0
19.0,LeSean McCoy (FA),178.7,14.9,2.0,12.0,RB,00-0027029,2015,4.4,3.0,9.1,2.0,0.0%,203.0,895,473.0,2.3,422.0,2.1,10.0,29.0,-72.0,48.0,28.0,6.0,3.0,1.0,0.0,32.0,50.0,3.0,45.0,286.0,28.0,7.0,2015.0,50.0,5.84,2015.0,BUF,50.0,1.0,253.0
20.0,Jeremy Hill (FA),170.3,10.6,3.0,16.0,RB,00-0030216,2015,3.6,11.0,5.3,1.0,0.0%,223.0,794,335.0,1.5,459.0,2.1,7.0,20.0,-38.0,38.0,18.0,1.0,1.0,0.0,0.0,15.0,19.0,4.0,26.0,76.0,10.0,3.0,2015.0,30.0,4.0,2015.0,NO,30.0,1.0,242.0
21.0,James Starks (FA),166.3,10.4,3.0,16.0,RB,00-0027791,2015,4.1,2.0,9.1,3.0,0.0%,148.0,601,272.0,1.8,329.0,2.2,6.0,16.0,-30.0,65.0,11.0,5.0,3.0,1.0,1.0,43.0,53.0,9.0,134.0,521.0,29.0,3.0,2015.0,59.0,6.915254237288136,2015.0,GB,59.0,1.0,201.0
