Rank,Player,Fantasy Points,Fantasy Points/Game,Fumbles Lost,Games Played (Advanced),Position,player_id,Year,Yards/Attempt (Basic),Rushing TD (Basic),Yards/Reception (Basic),Receiving TD (Basic),Rostered %,Rushing Attempts (Advanced),Rushing Yards (Advanced),Yards Before Contact,Yards Before Contact/Attempt,Yards After Contact,Yards After Contact/Attempt,Broken Tackles,Tackles for Loss,Tackles for Loss Yards,Longest TD Run,Runs 10+ Yards,Runs 20+ Yards (Advanced),Runs 30+ Yards,Runs 40+ Yards,Runs 50+ Yards,Receptions (Advanced),Targets (Advanced),Red Zone Targets,Yards After Contact (Advanced),yac,redzone_touches,goal_line_touches,relevent_snaps_played
Overall fantasy ranking for the player,Player name,Total fantasy points scored,Average fantasy points per game,Number of fumbles lost,Games played (advanced tracking),Player position,Unique player identifier,Season year,Yards per rushing attempt (basic),Rushing touchdowns (basic),Yards per reception (basic),Receiving touchdowns (basic),Rostered percentage,Rushing attempts (advanced),Rushing yards (advanced),Yards before contact,Yards before contact per attempt,Yards after contact,Yards after contact per attempt,Broken tackles,Tackles for loss,Tackles for loss yards,Longest touchdown run,Runs of 10+ yards,Runs of 20+ yards (advanced),Runs of 30+ yards,Runs of 40+ yards,Runs of 50+ yards,Receptions (advanced),Targets (advanced),Red zone targets,Yards after contact (advanced),Yards after catch (YAC),Red zone touches,Goal line touches,0.0
1.0,David Johnson (FA),407.8,25.5,3.0,16.0,RB,00-0026957,2016,4.2,16.0,11.0,4.0,0.0%,293.0,"1,239",640.0,2.2,599.0,2.0,12.0,29.0,-67.0,58.0,34.0,6.0,4.0,2.0,1.0,80.0,120.0,7.0,218.0,55.0,2.0,1.0,413.0
2.0,Ezekiel Elliott (FA),325.4,21.7,1.0,15.0,RB,00-0033045,2016,5.1,15.0,11.3,1.0,0.1%,322.0,"1,631",907.0,2.8,724.0,2.2,17.0,25.0,-66.0,60.0,48.0,14.0,5.0,3.0,2.0,32.0,40.0,2.0,166.0,382.0,44.0,14.0,362.0
3.0,Le'Veon Bell (FA),317.4,26.5,1.0,12.0,RB,00-0030496,2016,4.9,7.0,8.2,2.0,0.2%,261.0,"1,268",834.0,3.2,434.0,1.7,11.0,13.0,-20.0,7.0,37.0,4.0,2.0,1.0,0.0,75.0,94.0,8.0,122.0,681.0,53.0,13.0,355.0
4.0,LeSean McCoy (FA),298.3,19.9,0.0,15.0,RB,00-0027029,2016,5.4,13.0,7.1,1.0,0.0%,234.0,"1,267",726.0,3.1,541.0,2.3,10.0,37.0,-84.0,75.0,34.0,11.0,4.0,3.0,3.0,50.0,57.0,4.0,116.0,384.0,46.0,12.0,291.0
5.0,DeMarco Murray (FA),293.8,18.4,1.0,16.0,RB,00-0028009,2016,4.4,9.0,7.1,3.0,0.1%,293.0,"1,287",674.0,2.3,613.0,2.1,22.0,33.0,-66.0,75.0,32.0,4.0,3.0,2.0,2.0,53.0,67.0,4.0,84.0,320.0,63.0,19.0,360.0
6.0,Devonta Freeman (FA),284.1,17.8,1.0,16.0,RB,00-0031285,2016,4.8,11.0,8.6,2.0,0.0%,227.0,"1,079",581.0,2.6,498.0,2.2,15.0,33.0,-75.0,75.0,30.0,7.0,4.0,2.0,1.0,54.0,65.0,5.0,80.0,552.0,86.0,26.0,292.0
7.0,Melvin Gordon III (FA),250.6,19.3,2.0,13.0,RB,,2016,3.9,10.0,10.2,2.0,0.0%,254.0,997,509.0,2.0,488.0,1.9,18.0,33.0,-64.0,6.0,24.0,7.0,3.0,3.0,0.0,41.0,57.0,1.0,82.0,,,,311.0
9.0,LeGarrette Blount (FA),232.9,14.6,1.0,16.0,RB,00-0027325,2016,3.9,18.0,5.4,0.0,0.1%,299.0,"1,161",543.0,1.8,618.0,2.1,16.0,34.0,-59.0,43.0,29.0,7.0,3.0,3.0,0.0,7.0,8.0,0.0,21.0,46.0,81.0,32.0,307.0
10.0,Jordan Howard (FA),230.1,15.3,1.0,15.0,RB,00-0032780,2016,5.2,6.0,10.3,1.0,0.0%,252.0,"1,313",642.0,2.5,671.0,2.7,11.0,21.0,-44.0,9.0,43.0,10.0,4.0,2.0,2.0,29.0,50.0,1.0,99.0,284.0,40.0,10.0,302.0
11.0,Jay Ajayi (FA),215.3,14.4,1.0,15.0,RB,00-0031590,2016,4.9,8.0,5.6,0.0,0.0%,260.0,"1,272",489.0,1.9,783.0,3.0,26.0,37.0,-97.0,62.0,39.0,10.0,6.0,4.0,3.0,27.0,35.0,2.0,40.0,137.0,37.0,8.0,295.0
12.0,Frank Gore (FA),214.2,13.4,1.0,16.0,RB,00-0023500,2016,3.9,4.0,7.3,4.0,0.1%,263.0,"1,025",528.0,2.0,497.0,1.9,5.0,14.0,-28.0,7.0,18.0,1.0,0.0,0.0,0.0,38.0,47.0,3.0,75.0,286.0,36.0,12.0,310.0
13.0,Latavius Murray (FA),208.2,14.9,1.0,14.0,RB,00-0030513,2016,4.0,12.0,8.0,0.0,0.0%,195.0,788,382.0,2.0,406.0,2.1,8.0,14.0,-31.0,22.0,16.0,5.0,2.0,1.0,0.0,33.0,43.0,1.0,62.0,286.0,48.0,18.0,238.0
14.0,Isaiah Crowell (FA),205.1,12.8,2.0,16.0,RB,00-0030656,2016,4.8,7.0,8.0,0.0,0.1%,198.0,952,404.0,2.0,548.0,2.8,6.0,29.0,-67.0,85.0,26.0,8.0,4.0,3.0,2.0,40.0,53.0,2.0,120.0,325.0,34.0,13.0,251.0
16.0,Bilal Powell (FA),197.0,12.3,1.0,16.0,RB,00-0028064,2016,5.5,3.0,6.7,2.0,0.0%,131.0,722,377.0,2.9,345.0,2.6,14.0,11.0,-17.0,35.0,24.0,4.0,1.0,0.0,0.0,58.0,74.0,6.0,106.0,416.0,33.0,5.0,205.0
