Rank,Player,Fantasy Points,Fantasy Points/Game,Receptions (Advanced),Targets (Advanced),Target Share %,Catchable Targets,Drops,Receiving Yards (Advanced),Yards/Reception (Advanced),Yards Before Catch,Yards Before Catch/Reception,Yards After Catch,Yards After Catch/Reception,Yards After Contact,Yards After Contact/Reception,Broken Tackles,Receiving TD (Basic),Receptions 10+ Yards,Receptions 20+ Yards,Receptions 30+ Yards,Receptions 40+ Yards,Receptions 50+ Yards,Red Zone Targets,routes_run,yprr,TPRR,Fumbles Lost,redzone_touches,goal_line_touches,Games Played (Advanced),Year,Position,posteam,player_id,player_name,targets,yac
"Overall fantasy ranking for the player","Player name","Total fantasy points scored","Average fantasy points per game","Receptions (advanced tracking)","Targets (advanced tracking)","Target share percentage","Catchable targets","Number of drops","Receiving yards (advanced tracking)","Yards per reception (advanced)","Yards before catch","Yards before catch per reception","Yards after catch (YAC)","Yards after catch per reception","Yards after contact","Yards after contact per reception","Broken tackles","Receiving touchdowns (basic)","Receptions of 10+ yards","Receptions of 20+ yards","Receptions of 30+ yards","Receptions of 40+ yards","Receptions of 50+ yards","Red zone targets","Routes run","Yards per route run (YPRR)","Targets per route run (TPRR)","Fumbles lost","Red zone touches","Goal line touches","Games played (advanced tracking)","Season year","Player position","Posteam","Unique player identifier","Player display name","Targets (raw count)","Yards after catch (raw count)"
1.0,Travis Kelce (KC),316.3,18.6,110.0,152.0,24.8%,119.0,8.0,"1,338",12.2,690.0,6.3,648.0,5.9,197.0,1.8,13.0,12.0,54.0,19.0,7.0,2.0,1.0,30.0,184,8.668478260869565,0.9945652173913044,1.0,41,16,17.0,2022,TE,KC,00-0030506,T.Kelce,183,756
2.0,T.J. Hockenson (MIN),215.4,12.7,86.0,129.0,22.9%,93.0,7.0,914,10.6,518.0,6.0,396.0,4.6,144.0,1.7,7.0,6.0,37.0,5.0,3.0,2.0,2.0,18.0,142,7.274647887323944,0.9772727272727272,1.0,23,6,17.0,2022,TE,DET,00-0035229,T.Hockenson,43,468
3.0,George Kittle (SF),200.5,13.4,60.0,86.0,17.1%,63.0,3.0,765,12.8,383.0,6.4,382.0,6.4,137.0,2.3,4.0,11.0,28.0,12.0,6.0,1.0,1.0,15.0,98,9.479591836734691,0.9897959183673468,1.0,17,7,15.0,2022,TE,SF,00-0033288,G.Kittle,97,440
4.0,Mark Andrews (BAL),190.5,12.7,73.0,113.0,24.3%,81.0,8.0,847,11.6,604.0,8.3,243.0,3.3,68.0,0.9,1.0,5.0,39.0,7.0,1.0,0.0,0.0,17.0,124,7.419354838709677,0.9919354838709676,0.0,21,7,15.0,2022,TE,BAL,00-0034753,M.Andrews,123,267
5.0,Evan Engram (DEN),176.9,10.4,73.0,98.0,17.1%,78.0,5.0,766,10.5,301.0,4.1,465.0,6.4,102.0,1.4,5.0,4.0,31.0,10.0,1.0,0.0,0.0,8.0,118,7.5423728813559325,0.9745762711864406,0.0,15,4,17.0,2022,TE,JAX,00-0033881,E.Engram,115,553
6.0,Tyler Higbee (LAR),152.0,9.5,72.0,108.0,20.9%,81.0,7.0,620,8.6,217.0,3.0,403.0,5.6,110.0,1.5,3.0,3.0,21.0,4.0,0.0,0.0,0.0,16.0,108,5.7407407407407405,1.0,0.0,16,2,16.0,2022,TE,LA,00-0033110,T.Higbee,108,404
7.0,Pat Freiermuth (PIT),148.2,9.9,63.0,98.0,17.9%,68.0,5.0,732,11.6,441.0,7.0,291.0,4.6,126.0,2.0,6.0,2.0,31.0,9.0,2.0,1.0,1.0,10.0,98,7.469387755102041,1.0,0.0,13,1,15.0,2022,TE,PIT,00-0036894,P.Freiermuth,98,281
8.0,Cole Kmet (CHI),147.3,8.7,50.0,69.0,19.2%,52.0,2.0,544,10.9,193.0,3.9,351.0,7.0,64.0,1.3,3.0,7.0,23.0,6.0,1.0,1.0,1.0,10.0,70,7.771428571428571,0.9857142857142858,0.0,11,3,17.0,2022,TE,CHI,00-0036290,C.Kmet,69,286
9.0,Taysom Hill (NO),145.8,9.1,9.0,13.0,2.6%,9.0,0.0,77,8.6,40.0,4.4,37.0,4.1,9.0,1.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,3.0,186,9.564516129032258,0.9946236559139784,0.0,16,7,16.0,2022,TE,MIA,00-0033040,T.Hill,185,517
10.0,Dalton Schultz (HOU),142.7,9.5,57.0,89.0,16.3%,63.0,6.0,577,10.1,373.0,6.5,204.0,3.6,58.0,1.0,5.0,5.0,24.0,5.0,1.0,0.0,0.0,16.0,107,6.5327102803738315,1.0,1.0,20,3,15.0,2022,TE,DAL,00-0034383,D.Schultz,107,222
11.0,David Njoku (CLE),142.0,10.1,58.0,80.0,15.8%,61.0,3.0,628,10.8,290.0,5.0,338.0,5.8,82.0,1.4,3.0,4.0,26.0,8.0,2.0,0.0,0.0,20.0,80,7.85,1.0,1.0,20,4,14.0,2022,TE,CLE,00-0033885,D.Njoku,80,332
12.0,Dallas Goedert (PHI),141.2,11.8,55.0,69.0,13.7%,56.0,1.0,702,12.8,282.0,5.1,420.0,7.6,72.0,1.3,2.0,3.0,34.0,11.0,1.0,0.0,0.0,8.0,87,9.689655172413794,1.0,1.0,14,2,12.0,2022,TE,PHI,00-0034351,D.Goedert,87,473
13.0,Gerald Everett (FA),139.5,9.3,58.0,87.0,12.7%,68.0,9.0,555,9.6,229.0,3.9,326.0,5.6,100.0,1.7,5.0,4.0,26.0,4.0,0.0,0.0,0.0,15.0,96,6.916666666666667,0.9895833333333334,0.0,19,6,15.0,2022,TE,LAC,00-0033895,G.Everett,95,401
14.0,Dawson Knox (BUF),135.7,9.0,48.0,65.0,11.7%,53.0,4.0,517,10.8,324.0,6.8,193.0,4.0,61.0,1.3,3.0,6.0,21.0,8.0,1.0,1.0,0.0,9.0,77,7.818181818181818,1.0,0.0,14,3,15.0,2022,TE,BUF,00-0035689,D.Knox,77,216
15.0,Juwan Johnson (NO),134.8,8.4,42.0,65.0,13.2%,45.0,3.0,508,12.1,326.0,7.8,182.0,4.3,63.0,1.5,1.0,7.0,23.0,8.0,1.0,1.0,0.0,11.0,65,7.815384615384615,1.0,0.0,1,0,16.0,2022,TE,NO,00-0026300,J.Johnson,65,7
16.0,Tyler Conklin (LAC),131.5,7.7,58.0,87.0,14.8%,65.0,4.0,552,9.5,258.0,4.4,294.0,5.1,58.0,1.0,2.0,3.0,18.0,6.0,1.0,0.0,0.0,4.0,87,6.344827586206897,1.0,0.0,5,2,17.0,2022,TE,NYJ,00-0034270,T.Conklin,87,284
17.0,Noah Fant (CIN),122.6,7.2,50.0,63.0,11.4%,51.0,1.0,486,9.7,265.0,5.3,221.0,4.4,31.0,0.6,0.0,4.0,20.0,4.0,2.0,1.0,1.0,8.0,65,7.6461538461538465,1.0,0.0,10,2,17.0,2022,TE,SEA,00-0035644,N.Fant,65,232
18.0,Jordan Akins (FA),116.5,7.8,37.0,54.0,9.7%,40.0,3.0,495,13.4,225.0,6.1,270.0,7.3,80.0,2.2,1.0,5.0,20.0,8.0,4.0,1.0,0.0,11.0,56,8.839285714285714,0.9642857142857144,1.0,13,3,15.0,2022,TE,HOU,00-0034364,J.Akins,54,270
19.0,Zach Ertz (WAS),115.6,11.6,47.0,69.0,10.9%,51.0,3.0,406,8.6,276.0,5.9,130.0,2.8,22.0,0.5,2.0,4.0,16.0,2.0,1.0,0.0,0.0,15.0,71,5.71830985915493,0.971830985915493,0.0,17,7,10.0,2022,TE,ARI,00-0030061,Z.Ertz,69,130
20.0,Robert Tonyan (KC),112.0,6.6,53.0,67.0,12.4%,54.0,1.0,470,8.8,241.0,4.5,227.0,4.3,33.0,0.6,2.0,2.0,17.0,5.0,0.0,0.0,0.0,6.0,67,7.014925373134329,1.0,0.0,9,0,17.0,2022,TE,GB,00-0033757,R.Tonyan,67,230
21.0,Hayden Hurst (FA),109.9,7.9,54.0,70.0,11.7%,56.0,2.0,439,8.1,237.0,4.4,202.0,3.7,62.0,1.1,5.0,2.0,13.0,5.0,0.0,0.0,0.0,9.0,85,6.529411764705882,1.0,0.0,14,4,14.0,2022,TE,CIN,00-0034830,H.Hurst,85,246
22.0,Hunter Henry (NE),103.9,6.5,41.0,59.0,11.4%,45.0,3.0,509,12.4,304.0,7.4,205.0,5.0,22.0,0.5,0.0,2.0,18.0,10.0,5.0,0.0,0.0,7.0,59,8.627118644067796,1.0,0.0,7,1,16.0,2022,TE,NE,00-0033090,H.Henry,59,203
23.0,Mike Gesicki (CIN),98.2,5.8,32.0,52.0,9.3%,36.0,3.0,362,11.3,265.0,8.3,97.0,3.0,22.0,0.7,1.0,5.0,16.0,5.0,2.0,0.0,0.0,12.0,59,6.389830508474576,0.9830508474576272,0.0,15,6,17.0,2022,TE,MIA,00-0034829,M.Gesicki,58,100
24.0,Austin Hooper (NE),97.4,5.7,41.0,60.0,13.8%,43.0,2.0,444,10.8,313.0,7.6,131.0,3.2,34.0,0.8,1.0,2.0,19.0,2.0,0.0,0.0,0.0,6.0,60,7.4,1.0,0.0,7,1,17.0,2022,TE,TEN,00-0032392,A.Hooper,60,130
25.0,Chig Okonkwo (TEN),97.2,5.7,32.0,46.0,10.6%,35.0,3.0,450,14.1,196.0,6.1,254.0,7.9,113.0,3.5,3.0,3.0,21.0,7.0,4.0,3.0,0.0,6.0,47,9.574468085106384,0.9787234042553192,0.0,7,1,17.0,2022,TE,TEN,00-0037809,C.Okonkwo,46,252
