Rank,Player,Fantasy Points,Fantasy Points/Game,Receptions (Advanced),Targets (Advanced),Target Share %,Catchable Targets,Drops,Receiving Yards (Advanced),Yards/Reception (Advanced),Yards Before Catch,Yards Before Catch/Reception,Yards After Catch,Yards After Catch/Reception,Yards After Contact,Yards After Contact/Reception,Broken Tackles,Receiving TD (Basic),Receptions 10+ Yards,Receptions 20+ Yards,Receptions 30+ Yards,Receptions 40+ Yards,Receptions 50+ Yards,Longest Reception (Advanced),Red Zone Targets,routes_run,yprr,TPRR,Rushing Yards,redzone_touches,goal_line_touches,Games Played (Advanced),Rostered %,Year,Position,posteam,player_id,Games Played (Basic),player_name_std,receiver_player_id,receiving_yards,targets,yac
Overall fantasy ranking for the player,Player name,Total fantasy points scored,Average fantasy points per game,Receptions (advanced tracking),Targets (advanced tracking),Target share percentage,Catchable targets,Number of drops,Receiving yards (advanced tracking),Yards per reception (advanced),Yards before catch,Yards before catch per reception,Yards after catch (YAC),Yards after catch per reception,Yards after contact,Yards after contact per reception,Broken tackles,Receiving touchdowns (basic),Receptions of 10+ yards,Receptions of 20+ yards,Receptions of 30+ yards,Receptions of 40+ yards,Receptions of 50+ yards,Longest reception (advanced),Red zone targets,Routes run,Yards per route run (YPRR),Targets per route run (TPRR),Rushing yards,Red zone touches,Goal line touches,Games played (advanced tracking),Rostered percentage,Season year,Player position,Posteam,Unique player identifier,Games played (basic),Player name (standardized),Receiver player ID,Receiving yards (raw),Targets (raw),Yards after catch (raw)
1.0,Davante Adams (LAR),358.4,25.6,115.0,149.0,29.7%,116.0,1.0,"1,374",11.9,777,6.8,597.0,5.2,152.0,1.3,2.0,18.0,49.0,18.0,10.0,5.0,1.0,56.0,28.0,174.0,8.660919540229886,1.0,0.0,37.0,13.0,14.0,98.5%,2020,WR,GB,00-0031381,14.0,D.Adams,00-0031381,1507.0,174.0,669.0
2.0,Tyreek Hill (MIA),328.9,21.9,87.0,135.0,22.1%,94.0,5.0,"1,276",14.7,842,9.7,434.0,5.0,118.0,1.4,8.0,15.0,49.0,20.0,11.0,5.0,2.0,75.0,17.0,166.0,9.825301204819278,1.0,123.0,28.0,7.0,15.0,98.8%,2020,WR,KC,00-0033040,15.0,T.Hill,00-0033040,1631.0,166.0,620.0
3.0,Stefon Diggs (NE),328.6,20.5,127.0,166.0,29.0%,137.0,8.0,"1,535",12.1,"1,071",8.4,464.0,3.7,170.0,1.3,5.0,8.0,62.0,20.0,5.0,5.0,2.0,55.0,16.0,198.0,9.323232323232324,0.9949494949494948,1.0,20.0,6.0,16.0,85.9%,2020,WR,BUF,00-0031588,16.0,S.Diggs,00-0031588,1846.0,197.0,539.0
4.0,DeAndre Hopkins (BAL),287.8,18.0,115.0,160.0,29.4%,118.0,2.0,"1,407",12.2,879,7.6,528.0,4.6,172.0,1.5,15.0,6.0,57.0,17.0,11.0,6.0,1.0,60.0,13.0,161.0,8.73913043478261,0.9937888198757764,1.0,19.0,6.0,16.0,6.9%,2020,WR,ARI,00-0030564,16.0,D.Hopkins,00-0030564,1407.0,160.0,519.0
5.0,Calvin Ridley (TEN),281.5,18.8,90.0,143.0,23.6%,96.0,6.0,"1,374",15.3,"1,099",12.2,275.0,3.1,76.0,0.8,3.0,9.0,58.0,23.0,8.0,3.0,2.0,63.0,20.0,145.0,9.475862068965515,0.986206896551724,1.0,26.0,10.0,15.0,88.8%,2020,WR,ATL,00-0034837,15.0,C.Ridley,00-0034837,1374.0,143.0,275.0
6.0,Justin Jefferson (MIN),274.2,17.1,88.0,125.0,25.8%,92.0,2.0,"1,400",15.9,943,10.7,457.0,5.2,214.0,2.4,9.0,7.0,56.0,23.0,10.0,4.0,2.0,71.0,10.0,128.0,10.9375,0.9765625,2.0,15.0,5.0,16.0,99.9%,2020,WR,MIN,00-0036322,16.0,J.Jefferson,00-0036322,1400.0,125.0,453.0
7.0,DK Metcalf (PIT),271.3,17.0,83.0,129.0,24.0%,92.0,8.0,"1,303",15.7,940,11.3,363.0,4.4,149.0,1.8,8.0,10.0,50.0,17.0,12.0,5.0,3.0,62.0,16.0,140.0,9.992857142857142,1.0,0.0,17.0,4.0,16.0,96.8%,2020,WR,SEA,00-0035640,16.0,D.Metcalf,00-0035640,1399.0,140.0,383.0
8.0,Tyler Lockett (TEN),265.4,16.6,100.0,132.0,24.6%,108.0,8.0,"1,054",10.5,727,7.3,327.0,3.3,39.0,0.4,2.0,10.0,42.0,10.0,5.0,2.0,0.0,47.0,16.0,136.0,8.066176470588236,1.0,0.0,16.0,7.0,16.0,3.9%,2020,WR,SEA,00-0032211,16.0,T.Lockett,00-0032211,1097.0,136.0,332.0
9.0,Allen Robinson II (FA),262.9,16.4,102.0,151.0,25.3%,105.0,3.0,"1,250",12.3,931,9.1,319.0,3.1,113.0,1.1,5.0,6.0,49.0,22.0,4.0,1.0,0.0,42.0,18.0,,,,-1.0,,,16.0,0.0%,2020,WR,,,16.0,A.II,,,,
