Round	Pick	Player
1	1	Ja'Marr Chase
1	2	Bijan Robinson
1	3	Saquon Barkley
1	4	Jahmyr Gibbs
1	5	CeeDee Lamb
1	6	Justin Jefferson
1	7	Ashton Jeanty
1	8	Puka Nacua
1	9	Amon-Ra St. Brown
1	10	Malik Nabers
1	11	Nico Collins
1	12	Drake London
2	13	Christian McCaffrey
2	14	Brian Thomas Jr.
2	15	Josh Jacobs
2	16	Derrick Henry
2	17	Brock Bowers
2	18	A.J. Brown
2	19	Jonathan Taylor
2	20	Trey McBride
2	21	Ladd McConkey
2	22	Chase Brown
2	23	Bucky Irving
2	24	De'Von Achane
3	25	Kyren Williams
3	26	Garrett Wilson
3	27	Tyreek Hill
3	28	Josh Allen
3	29	Lamar Jackson
3	30	Omarion Hampton
3	31	Chuba Hubbard
3	32	James Cook
3	33	Jalen Hurts
3	34	James Conner
3	35	Kenneth Walker III
3	36	Jaxon Smith-Njigba
4	37	TreVeyon Henderson
4	38	Alvin Kamara
4	39	Davante Adams
4	40	George Kittle
4	41	Jayden Daniels
4	42	Joe Burrow
4	43	Tee Higgins
4	44	Breece Hall
4	45	Mike Evans
4	46	Xavier Worthy
4	47	Marvin Harrison Jr.
4	48	Terry McLaurin
5	49	DK Metcalf
5	50	David Montgomery
5	51	Zay Flowers
5	52	D'Andre Swift
5	53	Matthew Golden
5	54	Sam LaPorta
5	55	Courtland Sutton
5	56	DeVonta Smith
5	57	Jaylen Waddle
5	58	T.J. Hockenson
5	59	RJ Harvey
5	60	George Pickens
6	61	Jacory Croskey-Merritt
6	62	Travis Hunter
6	63	Chris Godwin
6	64	Aaron Jones Sr.
6	65	Tetairoa McMillan
6	66	DJ Moore
6	67	Tony Pollard
6	68	Isiah Pacheco
6	69	Calvin Ridley
6	70	Baker Mayfield
6	71	Rashee Rice
6	72	Tyrone Tracy Jr.
7	73	Cooper Kupp
7	74	Jordan Addison
7	75	Evan Engram
7	76	Rome Odunze
7	77	Jerry Jeudy
7	78	Emeka Egbuka
7	79	Jaleel McLaughlin
7	80	Rhamondre Stevenson
7	81	Jakobi Meyers
7	82	Cam Skattebo
7	83	David Njoku
7	84	Jameson Williams
8	85	Jordan Mason
8	86	Bo Nix
8	87	Deebo Samuel Sr.
8	88	Chris Olave
8	89	Jaylen Warren
8	90	Travis Kelce
8	91	Patrick Mahomes II
8	92	Travis Etienne Jr.
8	93	Kaleb Johnson
8	94	J.K. Dobbins
8	95	Mark Andrews
8	96	Stefon Diggs
9	97	Javonte Williams
9	98	Jayden Higgins
9	99	Jauan Jennings
9	100	Jaydon Blue
9	101	Braelon Allen
9	102	Austin Ekeler
9	103	Khalil Shakir
9	104	Michael Pittman Jr.
9	105	Tucker Kraft
9	106	Jordan Love
9	107	Quinshon Judkins
9	108	Ricky Pearsall
10	109	Tyler Warren
10	110	Keon Coleman
10	111	Tank Bigsby
10	112	Zach Charbonnet
10	113	Colston Loveland
10	114	Dallas Goedert
10	115	Jayden Reed
10	116	Darnell Mooney
10	117	Jake Ferguson
10	118	Dalton Kincaid
10	119	Nick Chubb
10	120	J.J. McCarthy
11	121	Kyle Pitts Sr.
11	122	Jonnu Smith
11	123	Adam Thielen
11	124	Josh Downs
11	125	Rashid Shaheed
11	126	Brian Robinson Jr.
11	127	Tyjae Spears
11	128	Keenan Allen
11	129	Trey Benson
11	130	Hunter Henry
11	131	Dylan Sampson
11	132	Kyler Murray
12	133	Ray Davis
12	134	Brandon Aiyuk
12	135	Jake Bates
12	136	Brock Purdy
12	137	Rachaad White
12	138	Xavier Legette
12	139	Caleb Williams
12	140	Tyler Allgeier
12	141	Will Shipley
12	142	Jared Goff
12	143	Drake Maye
12	144	Dak Prescott
13	145	Steelers
13	146	Brandon Aubrey
13	147	Vikings
13	148	Kyle Williams
13	149	Broncos
13	150	Ravens
13	151	Seahawks
13	152	Texans
13	153	Eagles
13	154	Patriots
13	155	Luther Burden III
13	156	Justin Herbert
14	157	Zach Ertz
14	158	Matthew Stafford
14	159	Bryce Young
14	160	Cameron Dicker
14	161	Chase McLaughlin
14	162	Chris Boswell
14	163	Jake Elliott
14	164	Jason Sanders
14	165	Justice Hill
14	166	Matt Gay
14	167	C.J. Stroud
14	168	Will Reichard
15	169	Brenton Strange
15	170	DeAndre Hopkins
15	171	Najee Harris
15	172	Ka'imi Fairbairn
15	173	Tyler Lockett
15	174	Rashod Bateman
15	175	Cam Ward
15	176	Jaylen Wright
15	177	Cedric Tillman
15	178	MarShawn Lloyd
15	179	Cam Little
15	180	Tyler Bass
16	181	Jets
16	182	Cardinals
16	183	Marvin Mims Jr.
16	184	Bhayshul Tuten
16	185	Marquise Brown
16	186	Wan'Dale Robinson
16	187	Brashard Smith
16	188	Darren Waller
16	189	Dolphins
16	190	Jerome Ford
16	191	Bears
16	192	Tre' Harris
