,Fantasy Points
Fantasy Points,1.0
Fantasy Points/Game,0.8924502616649586
Receptions (Advanced),0.8448073879392701
receiving_yards,0.8325477533544449
Targets (Advanced),0.8261315936156853
Receptions 10+ Yards,0.8239544907383902
routes_run,0.8060785389892112
targets,0.8046790383781851
Receiving TD (Basic),0.7346166825590625
Yards After Catch,0.6854680865959791
Receptions 20+ Yards,0.6659298741500705
yac,0.6383481531273844
Catchable Targets,0.6276475399246079
redzone_touches,0.6211425582848393
Red Zone Targets,0.5828427055384882
Yards After Contact,0.5526307593513977
Receptions 30+ Yards,0.5449987391479568
goal_line_touches,0.4881397769294492
Broken Tackles,0.4218601260673048
Receptions 40+ Yards,0.41880040131795465
Receptions 50+ Yards,0.33630187116269544
Games Played (Basic),0.3032997897252141
Longest Reception (Advanced),0.2972527033319282
Drops,0.28802766161643734
Games Played (Advanced),0.26130099779324456
yprr,0.22861397440548858
