,Fantasy Points
Fantasy Points,1.0
relevent_snaps_played,0.9096302483287685
Fantasy Points/Game,0.8807040772396756
Rushing Yards (Advanced),0.8410236440546469
Yards Before Contact,0.8289106011499003
Rushing Attempts (Advanced),0.8160695802094335
Runs 10+ Yards,0.8042511042233369
Yards After Contact,0.7734225111880866
Rushing TD (Basic),0.7647872808139087
redzone_touches,0.7608738648506284
Receptions (Advanced),0.7052340980040919
Targets (Advanced),0.7007058082551211
goal_line_touches,0.6771523483683728
Tackles for Loss,0.6700566561326187
Broken Tackles,0.6593863956265112
Yards After Contact (Advanced),0.6540840157346965
yac,0.6523464587467195
Runs 20+ Yards (Advanced),0.6377976518023591
Runs 30+ Yards,0.5761933311466992
Red Zone Targets,0.5241016265532272
Runs 40+ Yards,0.5062882461165994
Receiving TD (Basic),0.4792951463166468
Longest TD Run,0.4442577979287251
Runs 50+ Yards,0.4392868726687872
Games Played (Advanced),0.3797818678471906
Fumbles Lost,0.34204301999181735
routes_run_routes,0.24149663073754035
routes_run_yprr,0.23828292152052113
Yards/Attempt (Basic),0.1831721348127769
Yards Before Contact/Attempt,0.13675351172644096
Yards After Contact/Attempt,0.1073077869451698
TPRR,0.07467792505739759
yprr,0.07376134883635094
Yards/Reception (Basic),0.0521591484739953
Year,0.04253760062702004
Tackles for Loss Yards,-0.6349363104649357
Rank,-0.941314964995617
