,Fantasy Points
Fantasy Points,1.0
Receiving Yards (Advanced),0.9330261425253925
Fantasy Points/Game,0.9020845804181932
Receptions 10+ Yards,0.897717707014268
Receptions (Advanced),0.889410805891307
Targets (Advanced),0.8707804753041523
routes_run,0.8662522729660902
targets,0.8466994676518539
Yards Before Catch,0.8405329870660224
yac,0.7519066862772364
Yards After Catch,0.7508673081481172
redzone_touches,0.741133336518689
Receptions 20+ Yards,0.7024220057191048
Yards After Contact,0.6502838175991974
Catchable Targets,0.6390311598238971
Red Zone Targets,0.6061492315576181
Receiving TD (Basic),0.6038179782507545
goal_line_touches,0.49924584695770263
Receptions 30+ Yards,0.4780764858159828
Broken Tackles,0.44351428907461476
Drops,0.3709853199059724
Receptions 40+ Yards,0.33201218965501567
yprr,0.2844748243698046
Yards/Reception (Advanced),0.20628007433413675
Receptions 50+ Yards,0.20226806002676753
Fumbles Lost,0.2014526195047692
Games Played (Advanced),0.19733952968994023
Yards Before Catch/Reception,0.1719571324038301
Yards After Contact/Reception,0.10041508447672963
Yards After Catch/Reception,0.07044131437472215
Year,0.025910854329618607
TPRR,-0.011938789233405708
Rank,-0.9010495623025153
Target Share %,-0.9010495623025153
